iter	Passed	Remaining
0	0	905
1	1	794
2	2	773
3	2	746
4	3	730
5	4	733
6	5	734
7	6	754
8	6	746
9	7	732
10	8	724
11	8	723
12	9	714
13	10	711
14	10	708
15	11	704
16	12	703
17	12	701
18	13	702
19	14	700
20	14	698
21	15	698
22	16	696
23	17	696
24	17	697
25	18	695
26	19	695
27	20	696
28	20	695
29	21	694
30	22	691
31	22	690
32	23	688
33	24	682
34	24	679
35	25	678
36	26	677
37	26	677
38	27	676
39	28	675
40	28	676
41	29	674
42	30	673
43	30	672
44	31	671
45	32	670
46	33	670
47	34	674
48	34	672
49	35	672
50	36	670
51	36	668
52	37	667
53	38	665
54	38	664
55	39	663
56	39	661
57	40	659
58	41	658
59	42	660
60	42	659
61	43	658
62	44	657
63	44	657
64	45	656
65	46	654
66	46	651
67	47	650
68	48	648
69	48	648
70	49	648
71	50	647
72	50	646
73	51	645
74	52	644
75	52	643
76	53	642
77	54	641
78	55	641
79	55	641
80	56	641
81	57	640
82	57	640
83	58	639
84	59	639
85	60	638
86	60	637
87	61	636
88	62	635
89	62	635
90	63	635
91	64	634
92	64	633
93	65	633
94	66	632
95	67	631
96	67	631
97	68	630
98	69	629
99	69	628
100	70	627
101	71	626
102	71	626
103	72	625
104	73	624
105	74	626
106	75	626
107	75	625
108	76	624
109	77	623
110	77	622
111	78	622
112	79	624
113	80	624
114	81	624
115	82	625
116	83	627
117	84	630
118	85	632
119	86	634
120	88	640
121	89	641
122	90	642
123	91	643
124	92	646
125	93	650
126	95	654
127	96	658
128	97	661
129	99	666
130	100	668
131	102	673
132	103	674
133	104	674
134	105	676
135	106	676
136	107	677
137	108	678
138	109	678
139	110	680
140	111	679
141	112	677
142	112	676
143	113	675
144	114	673
145	115	672
146	116	673
147	116	672
148	117	671
149	118	669
150	118	668
151	119	667
152	120	665
153	121	666
154	121	664
155	122	663
156	123	662
157	124	661
158	124	659
159	125	658
160	126	656
161	126	655
162	128	660
163	130	663
164	131	664
165	132	664
166	133	664
167	134	664
168	135	664
169	135	663
170	136	662
171	137	661
172	138	660
173	138	659
174	139	658
175	140	656
176	141	655
177	141	654
178	142	653
179	143	651
180	143	651
181	144	650
182	145	649
183	146	648
184	146	646
185	147	645
186	148	644
187	148	643
188	149	641
189	150	640
190	151	639
191	151	638
192	152	638
193	153	638
194	154	637
195	155	636
196	155	635
197	156	633
198	157	632
199	157	631
200	158	630
201	159	629
202	159	627
203	160	627
204	161	626
205	162	625
206	162	624
207	163	623
208	164	621
209	165	620
210	165	619
211	166	618
212	167	617
213	167	616
214	168	614
215	169	614
216	170	613
217	170	612
218	171	611
219	172	610
220	172	609
221	173	608
222	174	607
223	174	605
224	175	604
225	176	603
226	177	602
227	177	601
228	178	600
229	178	599
230	179	598
231	180	597
232	181	596
233	181	595
234	182	594
235	183	593
236	183	591
237	184	590
238	185	589
239	185	588
240	186	587
241	187	586
242	187	585
243	188	584
244	189	583
245	190	582
246	190	581
247	191	580
248	192	579
249	192	578
250	193	577
251	194	576
252	195	575
253	195	574
254	196	574
255	197	572
256	197	571
257	198	570
258	199	569
259	199	568
260	200	568
261	201	567
262	202	566
263	202	565
264	203	564
265	204	563
266	204	562
267	205	561
268	206	560
269	207	559
270	207	559
271	208	558
272	209	557
273	209	555
274	210	555
275	211	554
276	212	553
277	212	552
278	213	551
279	214	551
280	215	550
281	215	549
282	216	548
283	217	547
284	217	546
285	218	545
286	219	544
287	220	543
288	220	543
289	221	542
290	222	541
291	222	540
292	223	539
293	224	538
294	225	539
295	226	538
296	227	538
297	228	538
298	229	537
299	230	537
300	230	536
301	231	535
302	232	534
303	232	533
304	233	532
305	234	531
306	235	530
307	235	529
308	236	528
309	237	527
310	237	526
311	238	525
312	239	524
313	239	524
314	240	523
315	241	522
316	242	521
317	242	520
318	243	519
319	244	518
320	244	517
321	245	517
322	246	516
323	246	515
324	247	514
325	248	513
326	248	512
327	249	511
328	250	510
329	250	509
330	251	508
331	252	507
332	252	506
333	253	505
334	254	504
335	254	503
336	255	502
337	256	502
338	257	501
339	258	501
340	258	500
341	260	500
342	260	499
343	261	498
344	262	498
345	263	497
346	264	497
347	264	496
348	265	495
349	266	494
350	267	493
351	267	492
352	268	492
353	269	490
354	269	489
355	270	489
356	271	488
357	271	487
358	272	486
359	273	485
360	273	484
361	274	484
362	275	483
363	275	482
364	276	481
365	277	480
366	278	479
367	278	478
368	279	477
369	280	477
370	280	476
371	281	475
372	282	474
373	282	473
374	283	472
375	284	471
376	285	471
377	285	470
378	286	469
379	287	468
380	287	467
381	288	466
382	289	465
383	289	465
384	290	464
385	291	463
386	292	462
387	292	461
388	293	460
389	294	460
390	294	459
391	295	458
392	296	457
393	296	456
394	297	455
395	298	454
396	298	453
397	299	453
398	300	452
399	300	451
400	301	450
401	302	449
402	302	448
403	303	447
404	304	446
405	304	445
406	305	445
407	306	444
408	306	443
409	307	442
410	308	441
411	308	440
412	309	439
413	310	439
414	310	438
415	311	437
416	312	436
417	313	436
418	314	435
419	315	435
420	316	435
421	317	434
422	318	434
423	319	433
424	320	433
425	322	434
426	322	433
427	324	433
428	325	432
429	326	432
430	327	432
431	328	432
432	329	431
433	330	431
434	331	430
435	332	429
436	333	429
437	334	429
438	335	428
439	336	427
440	337	427
441	338	427
442	339	426
443	340	425
444	340	425
445	341	424
446	343	424
447	343	423
448	345	423
449	346	422
450	346	422
451	347	421
452	348	421
453	349	420
454	350	420
455	352	420
456	353	419
457	354	419
458	355	419
459	356	418
460	358	418
461	358	418
462	360	417
463	361	417
464	362	416
465	363	416
466	364	415
467	364	414
468	365	414
469	366	413
470	367	412
471	368	412
472	369	412
473	370	411
474	371	410
475	372	409
476	373	409
477	373	408
478	375	407
479	376	407
480	377	407
481	379	407
482	380	406
483	381	406
484	382	405
485	382	404
486	383	404
487	385	403
488	385	403
489	387	403
490	388	402
491	388	401
492	389	400
493	390	400
494	391	399
495	392	398
496	393	398
497	394	397
498	396	397
499	397	397
500	398	397
501	399	396
502	401	396
503	402	395
504	403	395
505	404	394
506	405	394
507	406	393
508	407	393
509	409	393
510	410	393
511	411	392
512	412	391
513	413	391
514	414	390
515	415	390
516	417	389
517	419	389
518	420	389
519	421	388
520	422	388
521	424	388
522	425	387
523	426	387
524	427	387
525	428	386
526	429	385
527	431	385
528	432	385
529	433	384
530	434	383
531	435	383
532	437	382
533	438	382
534	438	381
535	440	381
536	442	381
537	443	380
538	444	380
539	446	379
540	447	379
541	448	379
542	449	378
543	450	377
544	451	377
545	452	376
546	453	375
547	454	374
548	455	374
549	456	373
550	457	372
551	458	372
552	459	371
553	460	370
554	461	369
555	462	368
556	463	368
557	464	367
558	464	366
559	465	366
560	466	365
561	467	364
562	468	363
563	469	363
564	470	362
565	471	361
566	472	360
567	472	359
568	473	358
569	474	357
570	474	356
571	475	355
572	476	354
573	476	353
574	477	353
575	478	352
576	479	351
577	479	350
578	480	349
579	481	348
580	482	347
581	482	346
582	483	345
583	484	344
584	484	343
585	485	342
586	486	341
587	486	341
588	487	340
589	488	339
590	488	338
591	489	337
592	490	336
593	490	335
594	491	334
595	492	333
596	493	332
597	493	331
598	494	331
599	495	330
600	495	329
601	496	328
602	497	327
603	498	326
604	498	325
605	499	324
606	500	323
607	500	322
608	501	322
609	502	321
610	502	320
611	503	319
612	504	318
613	504	317
614	505	316
615	506	315
616	506	314
617	507	313
618	508	313
619	509	312
620	510	311
621	511	310
622	511	309
623	512	308
624	513	307
625	513	306
626	514	306
627	515	305
628	516	304
629	516	303
630	517	302
631	518	301
632	518	300
633	519	299
634	520	298
635	520	298
636	521	297
637	522	296
638	523	295
639	524	294
640	524	293
641	525	293
642	526	292
643	526	291
644	527	290
645	528	289
646	528	288
647	529	287
648	530	286
649	530	285
650	531	284
651	532	284
652	532	283
653	533	282
654	534	281
655	535	280
656	535	279
657	536	278
658	537	278
659	537	277
660	538	276
661	539	275
662	539	274
663	540	273
664	541	272
665	541	271
666	542	270
667	543	270
668	544	269
669	544	268
670	545	267
671	546	266
672	546	265
673	547	264
674	548	263
675	548	263
676	549	262
677	550	261
678	550	260
679	551	259
680	552	258
681	553	257
682	553	257
683	554	256
684	555	255
685	555	254
686	556	253
687	557	252
688	557	251
689	558	250
690	559	250
691	559	249
692	560	248
693	561	247
694	562	246
695	562	245
696	563	244
697	564	244
698	564	243
699	565	242
700	566	241
701	566	240
702	567	239
703	568	238
704	568	238
705	569	237
706	570	236
707	570	235
708	571	234
709	572	233
710	573	232
711	573	232
712	574	231
713	575	230
714	575	229
715	576	228
716	577	227
717	577	226
718	578	226
719	579	225
720	579	224
721	580	223
722	581	222
723	581	221
724	582	220
725	583	220
726	583	219
727	584	218
728	585	217
729	586	216
730	586	215
731	587	215
732	588	214
733	588	213
734	589	212
735	589	211
736	590	210
737	591	209
738	591	209
739	592	208
740	593	207
741	593	206
742	594	205
743	595	204
744	596	204
745	596	203
746	597	202
747	598	201
748	598	200
749	599	199
750	600	199
751	601	198
752	601	197
753	602	196
754	603	195
755	603	194
756	604	194
757	605	193
758	605	192
759	606	191
760	607	190
761	607	189
762	608	189
763	609	188
764	610	187
765	610	186
766	611	185
767	612	184
768	612	184
769	613	183
770	614	182
771	614	181
772	615	180
773	616	179
774	617	179
775	617	178
776	618	177
777	619	176
778	619	175
779	620	175
780	621	174
781	622	173
782	622	172
783	623	171
784	624	170
785	624	170
786	625	169
787	626	168
788	626	167
789	627	166
790	628	166
791	629	165
792	630	164
793	630	163
794	631	162
795	632	162
796	633	161
797	633	160
798	634	159
799	634	158
800	635	157
801	636	157
802	637	156
803	637	155
804	638	154
805	639	153
806	639	153
807	640	152
808	641	151
809	642	150
810	642	149
811	643	148
812	644	148
813	644	147
814	645	146
815	646	145
816	646	144
817	647	144
818	648	143
819	648	142
820	649	141
821	650	140
822	650	140
823	651	139
824	652	138
825	652	137
826	653	136
827	654	135
828	655	135
829	655	134
830	656	133
831	656	132
832	657	131
833	658	131
834	659	130
835	659	129
836	660	128
837	661	127
838	662	127
839	663	126
840	663	125
841	664	124
842	665	123
843	665	123
844	666	122
845	667	121
846	668	120
847	668	119
848	669	119
849	670	118
850	670	117
851	671	116
852	672	115
853	673	115
854	673	114
855	674	113
856	675	112
857	675	111
858	676	111
859	677	110
860	678	109
861	678	108
862	679	107
863	680	107
864	680	106
865	681	105
866	682	104
867	682	103
868	683	103
869	684	102
870	684	101
871	685	100
872	686	99
873	686	99
874	687	98
875	688	97
876	689	96
877	689	95
878	690	95
879	691	94
880	691	93
881	692	92
882	693	91
883	693	91
884	694	90
885	695	89
886	695	88
887	696	87
888	697	87
889	698	86
890	698	85
891	699	84
892	700	83
893	700	83
894	701	82
895	702	81
896	703	80
897	703	79
898	704	79
899	705	78
900	705	77
901	706	76
902	707	75
903	708	75
904	708	74
905	709	73
906	710	72
907	710	72
908	711	71
909	712	70
910	713	69
911	714	68
912	715	68
913	715	67
914	716	66
915	717	65
916	718	65
917	719	64
918	720	63
919	721	62
920	722	61
921	723	61
922	724	60
923	725	59
924	726	58
925	726	58
926	727	57
927	728	56
928	728	55
929	729	54
930	730	54
931	730	53
932	731	52
933	732	51
934	732	50
935	733	50
936	734	49
937	735	48
938	735	47
939	736	47
940	737	46
941	737	45
942	738	44
943	739	43
944	739	43
945	740	42
946	741	41
947	741	40
948	742	39
949	743	39
950	743	38
951	744	37
952	745	36
953	745	35
954	746	35
955	747	34
956	747	33
957	748	32
958	749	32
959	750	31
960	750	30
961	751	29
962	752	28
963	752	28
964	753	27
965	754	26
966	754	25
967	755	24
968	756	24
969	757	23
970	757	22
971	758	21
972	759	21
973	759	20
974	760	19
975	761	18
976	761	17
977	762	17
978	763	16
979	763	15
980	764	14
981	765	14
982	766	13
983	766	12
984	767	11
985	768	10
986	768	10
987	769	9
988	770	8
989	770	7
990	771	7
991	772	6
992	772	5
993	773	4
994	774	3
995	775	3
996	776	2
997	777	1
998	778	0
999	779	0
