Title,url
Spider-Man,http://www.imdb.com/title/tt0145487/
Spider-Man 2,http://www.imdb.com/title/tt0316654/
Spider-Man 3,http://www.imdb.com/title/tt0413300/
The Matrix,http://www.imdb.com/title/tt0133093/
The Matrix Reloaded,http://www.imdb.com/title/tt0234215/
The Matrix Revolutions,http://www.imdb.com/title/tt0242653/
The Lord of the Rings: The Fellowship of the Ring,http://www.imdb.com/title/tt0120737/
The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/
The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/
Back to the Future,http://www.imdb.com/title/tt0088763/
Back to the Future Part II,http://www.imdb.com/title/tt0096874/
Back to the Future Part III,http://www.imdb.com/title/tt0099088/
Lethal Weapon,http://www.imdb.com/title/tt0093409/
Lethal Weapon 2,http://www.imdb.com/title/tt0097733/
Lethal Weapon 3,http://www.imdb.com/title/tt0104714/
Lethal Weapon 4,http://www.imdb.com/title/tt0122151/
Die Hard,http://www.imdb.com/title/tt0095016/
Die Hard 2,http://www.imdb.com/title/tt0099423/
Die Hard with a Vengeance,http://www.imdb.com/title/tt0112864/
Live Free or Die Hard,http://www.imdb.com/title/tt0337978/
A Good Day to Die Hard,http://www.imdb.com/title/tt1606378/
Mad Max,http://www.imdb.com/title/tt0079501/
Mad Max 2: The Road Warrior,http://www.imdb.com/title/tt0082694/
Mad Max Beyond Thunderdome,http://www.imdb.com/title/tt0089530/
Rocky,http://www.imdb.com/title/tt0075148/
Rocky II,http://www.imdb.com/title/tt0079817/
Rocky III,http://www.imdb.com/title/tt0084602/
Rocky IV,http://www.imdb.com/title/tt0089927/
Rocky V,http://www.imdb.com/title/tt0100507/
Rocky Balboa,http://www.imdb.com/title/tt0479143/
First Blood,http://www.imdb.com/title/tt0083944/
Rambo: First Blood Part II,http://www.imdb.com/title/tt0089880/
Rambo III,http://www.imdb.com/title/tt0095956/
Rambo,http://www.imdb.com/title/tt0462499/
The Terminator,http://www.imdb.com/title/tt0088247/
Terminator 2: Judgment Day,http://www.imdb.com/title/tt0103064/
Terminator 3: Rise of the Machines,http://www.imdb.com/title/tt0181852/
Terminator Salvation,http://www.imdb.com/title/tt0438488/
RoboCop,http://www.imdb.com/title/tt0093870/
RoboCop 2,http://www.imdb.com/title/tt0100502/
RoboCop 3,http://www.imdb.com/title/tt0107978/
X-Men,http://www.imdb.com/title/tt0120903/
X2: X-Men United,http://www.imdb.com/title/tt0290334/
X-Men: The Last Stand,http://www.imdb.com/title/tt0376994/
X: First Class,http://www.imdb.com/title/tt1270798/
X-Men: Days of Future Past,http://www.imdb.com/title/tt1877832/
X-Men Origins: Wolverine,http://www.imdb.com/title/tt0458525/
The Wolverine,http://www.imdb.com/title/tt1430132/
The Fast and the Furious,http://www.imdb.com/title/tt0232500/
2 Fast 2 Furious,http://www.imdb.com/title/tt0322259/
The Fast and the Furious: Tokyo Drift,http://www.imdb.com/title/tt0463985/
Fast & Furious,http://www.imdb.com/title/tt1013752/
Fast Five,http://www.imdb.com/title/tt1596343/
xXx,http://www.imdb.com/title/tt0295701/
xXx: State of the Union,http://www.imdb.com/title/tt0329774/
Pitch Black,http://www.imdb.com/title/tt0134847/
The Chronicles of Riddick,http://www.imdb.com/title/tt0296572/
Riddick,http://www.imdb.com/title/tt1411250/
The Transporter,http://www.imdb.com/title/tt0293662/
Transporter 2,http://www.imdb.com/title/tt0388482/
Transporter 3,http://www.imdb.com/title/tt1129442/
Crank,http://www.imdb.com/title/tt0479884/
Crank: High Voltage,http://www.imdb.com/title/tt1121931/
Alien,http://www.imdb.com/title/tt0078748/
Aliens,http://www.imdb.com/title/tt0090605/
Alien 3,http://www.imdb.com/title/tt0103644/
Alien: Resurrection,http://www.imdb.com/title/tt0118583/
Alien vs. Predator,http://www.imdb.com/title/tt0370263/
Aliens vs. Predator: Requiem,http://www.imdb.com/title/tt0758730/
Predator,http://www.imdb.com/title/tt0093773/
Predator 2,http://www.imdb.com/title/tt0100403/
Predators,http://www.imdb.com/title/tt1424381/
The Evil Dead,http://www.imdb.com/title/tt0083907/
Evil Dead II,http://www.imdb.com/title/tt0092991/
Army of Darkness,http://www.imdb.com/title/tt0106308/
Saw,http://www.imdb.com/title/tt0387564/
Saw II,http://www.imdb.com/title/tt0432348/
Saw III,http://www.imdb.com/title/tt0489270/
Saw IV,http://www.imdb.com/title/tt0890870/
Saw V,http://www.imdb.com/title/tt1132626/
Saw VI,http://www.imdb.com/title/tt1233227/
Saw: The Final Chapter,http://www.imdb.com/title/tt1477076/
Species,http://www.imdb.com/title/tt0114508/
Species II,http://www.imdb.com/title/tt0120841/
Scream,http://www.imdb.com/title/tt0117571/
Scream 2,http://www.imdb.com/title/tt0120082/
Scream 3,http://www.imdb.com/title/tt0134084/
