Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Mary Poppins,https://www.imdb.com/title/tt0058331/,,,,,,
Mary Poppins Returns,https://www.imdb.com/title/tt5028340/,,,,,,
Airplane,https://www.imdb.com/title/tt0080339/,,,,,,
Airplane II,https://www.imdb.com/title/tt0083530/,,,,,,
Human Centipede,https://www.imdb.com/title/tt1467304/,,,,,,
Human Centipede II,https://www.imdb.com/title/tt1530509/,,,,,,
The Brady Bunch,https://www.imdb.com/title/tt0112572/,,,,,,
A Very Brady Sequel,https://www.imdb.com/title/tt0118073/,,,,,,
Sister Act ,https://www.imdb.com/title/tt0105417/,,,,,,
Sister Act 2,https://www.imdb.com/title/tt0108147/,,,,,,
Kiss the Girls,https://www.imdb.com/title/tt0119468/,,,,,,
Along Came a Spider,https://www.imdb.com/title/tt0164334/,,,,,,
Unfriended,https://www.imdb.com/title/tt3713166/,,,,,,
Unfriended II,https://www.imdb.com/title/tt4761916/,,,,,,
The House of a 1000 corpses,https://www.imdb.com/title/tt0251736/,,,,,,
The Devil's Rejects,https://www.imdb.com/title/tt0395584/,,,,,,
Journey to the Center of the Earth,https://www.imdb.com/title/tt0373051/,,,,,,
Journey 2: Mysterious Island,https://www.imdb.com/title/tt1397514/,,,,,,
Grease,https://www.imdb.com/title/tt0077631/,,,,,,
Grease 2,https://www.imdb.com/title/tt0084021/,,,,,,
The Wizard of Oz,https://www.imdb.com/title/tt0032138/,,,,,,
Return to Oz,https://www.imdb.com/title/tt0089908/,,,,,,
Daddy's Home,https://www.imdb.com/title/tt1528854/,,,,,,
Daddy's Home 2,https://www.imdb.com/title/tt5657846/,,,,,,
Westworld,https://www.imdb.com/title/tt0070909/,,,,,,
Futureworld,https://www.imdb.com/title/tt0074559/,,,,,,
Goosebumps,https://www.imdb.com/title/tt1051904/,,,,,,
Goosebumps 2,https://www.imdb.com/title/tt5664636/,,,,,,
The Rescuers,https://www.imdb.com/title/tt0076618/,,,,,,
The Rescuers Down Under,https://www.imdb.com/title/tt0100477/,,,,,,
Shaft 2000,https://www.imdb.com/title/tt0162650/,,,,,,
Shaft 2019,https://www.imdb.com/title/tt4463894/,,,,,,
Shaft 1971,https://www.imdb.com/title/tt0067741/,,,,,,
Shaft 1972,https://www.imdb.com/title/tt0069257/,,,,,,
Skyline,https://www.imdb.com/title/tt1564585/,,,,,,
Beyond Skyline,https://www.imdb.com/title/tt1724970/,,,,,,
Rio Bravo,https://www.imdb.com/title/tt0053221/,,,,,,
Rio Lobo,https://www.imdb.com/title/tt0066301/,,,,,,
Saturday Night Fever,https://www.imdb.com/title/tt0076666/,,,,,,
Staying Alive,https://www.imdb.com/title/tt0086361/,,,,,,
Creepshow,https://www.imdb.com/title/tt0083767/,,,,,,
Creepshow 2,https://www.imdb.com/title/tt0092796/,,,,,,
Escape Plan,https://www.imdb.com/title/tt1211956/,,,,,,
Escape Plan 2,https://www.imdb.com/title/tt6513656/,,,,,,
Bad Moms,https://www.imdb.com/title/tt4651520/,,,,,,
Bad Moms Christmas,https://www.imdb.com/title/tt6359956/,,,,,,
Get Shorty,https://www.imdb.com/title/tt0113161/,,,,,,
Be Cool,https://www.imdb.com/title/tt0377471/,,,,,,
Grumpy Old Men,https://www.imdb.com/title/tt0107050/,,,,,,
Grumpier Old Men,https://www.imdb.com/title/tt0113228/,,,,,,
Iron Sky,https://www.imdb.com/title/tt1034314/,,,,,,
Iron Sky 2,https://www.imdb.com/title/tt3038708/,,,,,,
Super Troopers,https://www.imdb.com/title/tt0247745/,,,,,,
Super Troopers 2,https://www.imdb.com/title/tt0859635/,,,,,,
Beethoven,https://www.imdb.com/title/tt0103786/,,,,,,
Beethoven's 2nd,https://www.imdb.com/title/tt0106375/,,,,,,
Bereavement 1,https://www.imdb.com/title/tt0388230/,,,,,,
Bereavement 2,https://www.imdb.com/title/tt1100051/,,,,,,
Brighton Beach Memoirs,https://www.imdb.com/title/tt0090774/,,,,,,
Biloxi Blues,https://www.imdb.com/title/tt0094746/,,,,,,
Power Rangers,https://www.imdb.com/title/tt0113820/,,,,,,
Power Rangers 2,https://www.imdb.com/title/tt0120389/,,,,,,
Daddy Day Care,https://www.imdb.com/title/tt0317303/,,,,,,
Daddy Day Camp,https://www.imdb.com/title/tt0462244/,,,,,,
The Return of the Living Dead,https://www.imdb.com/title/tt0089907/,,,,,,
The Return of the Living Dead Part II,https://www.imdb.com/title/tt0095990/,,,,,,
Chinatown,https://www.imdb.com/title/tt0071315/,,,,,,
The Two Jakes,https://www.imdb.com/title/tt0100828/,,,,,,
The Smurfs,https://www.imdb.com/title/tt0472181/,,,,,,
The Smurfs 2,https://www.imdb.com/title/tt2017020/,,,,,,
The Thin Man,https://www.imdb.com/title/tt0025878/,,,,,,
After the Thin Man,https://www.imdb.com/title/tt0027260/,,,,,,
Another Thin Man,https://www.imdb.com/title/tt0031047/,,,,,,
Shadow of the Thin Man,https://www.imdb.com/title/tt0034172/,,,,,,
The Thin Man Goes Home,https://www.imdb.com/title/tt0037365/,,,,,,
Song of the Thin Man,https://www.imdb.com/title/tt0039853/,,,,,,
Keeper of Lost Causes,https://www.imdb.com/title/tt2438644/,,,,,,
The Absent One,https://www.imdb.com/title/tt3140100/,,,,,,
The Born Losers,https://www.imdb.com/title/tt0061420/,,,,,,
Billy Jack,https://www.imdb.com/title/tt0066832/,,,,,,
Caddyshack,https://www.imdb.com/title/tt0080487/,,,,,,
Caddyshack 2,https://www.imdb.com/title/tt0094824/,,,,,,
Baahubali: The Beginning,https://www.imdb.com/title/tt2631186/,,,,,,
Baahubali: The Conclusion,https://www.imdb.com/title/tt4849438/,,,,,,
Homeward Bound,https://www.imdb.com/title/tt0107131/,,,,,,
Homeward Bound 2,https://www.imdb.com/title/tt0116552/,,,,,,
City Slickers,https://www.imdb.com/title/tt0101587/,,,,,,
City Slickers 2,https://www.imdb.com/title/tt0109439/,,,,,,
Carrie,https://www.imdb.com/title/tt0074285/,,,,,,
The Rage: Carrie 2,https://www.imdb.com/title/tt0144814/,,,,,,
Planes,https://www.imdb.com/title/tt1691917/,,,,,,
Planes 2: Fire and Rescue,https://www.imdb.com/title/tt2980706/,,,,,,
Amityville Horror,https://www.imdb.com/title/tt0078767/,,,,,,
Amityville II: The Possession,https://www.imdb.com/title/tt0083550/,,,,,,
Airport 1970,https://www.imdb.com/title/tt0065377/,,,,,,
Airport 1975,https://www.imdb.com/title/tt0071110/,,,,,,
Fantasia,https://www.imdb.com/title/tt0032455/,,,,,,
Fantasia 2000,https://www.imdb.com/title/tt0120910/,,,,,,
American Grafitti,https://www.imdb.com/title/tt0069704/,,,,,,
More American Grafitti,https://www.imdb.com/title/tt0079576/,,,,,,
House,https://www.imdb.com/title/tt0091223/,,,,,,
House II: The Second Story,https://www.imdb.com/title/tt0093220/,,,,,,
Enthiran,https://www.imdb.com/title/tt1305797/,,,,,,
Two  Point O,https://www.imdb.com/title/tt5080556/,,,,,,
Cheech and Chong: Up in Smoke,https://www.imdb.com/title/tt0078446/,,,,,,
Cheech and Chong 2: Next Movie,https://www.imdb.com/title/tt0080520/,,,,,,
The Rugrats,https://www.imdb.com/title/tt0134067/,,,,,,
The Rugrats in Paris,https://www.imdb.com/title/tt0213203/,,,,,,
Hatchet,https://www.imdb.com/title/tt0422401/,,,,,,
Hatchet 2,https://www.imdb.com/title/tt1270835/,,,,,,
Are we There Yet?,https://www.imdb.com/title/tt0368578/,,,,,,
Are we Done Yet?,https://www.imdb.com/title/tt0422774/,,,,,,
Ginger Snaps,https://www.imdb.com/title/tt0210070/,,,,,,
Ginger Snaps 2,https://www.imdb.com/title/tt0353489/,,,,,,
Pee-wee's Big Adventure,https://www.imdb.com/title/tt0089791/,,,,,,
Big Top Pee Wee,https://www.imdb.com/title/tt0094744/,,,,,,
Ninja,https://www.imdb.com/title/tt1182921/,,,,,,
Ninja 2,https://www.imdb.com/title/tt2458106/,,,,,,
Metropolitan,https://www.imdb.com/title/tt0100142/,,,,,,
Barcelona,https://www.imdb.com/title/tt0109219/,,,,,,
Best of the Best,https://www.imdb.com/title/tt0096913/,,,,,,
Best of the Best 2,https://www.imdb.com/title/tt0106393/,,,,,,
Stakeout,https://www.imdb.com/title/tt0094025/,,,,,,
Another Stakeout,https://www.imdb.com/title/tt0106292/,,,,,,
Poseidon Adventure,https://www.imdb.com/title/tt0069113/,,,,,,
Beyond Poseidon Adventure,https://www.imdb.com/title/tt0078856/,,,,,,
Survival of the Dead,https://www.imdb.com/title/tt1134854/,,,,,,
The Crazies,https://www.imdb.com/title/tt0455407/,,,,,,
Land of the Dead,https://www.imdb.com/title/tt0418819/,,,,,,
Diary of the Dead,https://www.imdb.com/title/tt0848557/,,,,,,
Ghost in the Shell,https://www.imdb.com/title/tt0113568/,,,,,,
Ghost in the Shell 2,https://www.imdb.com/title/tt0347246/,,,,,,
Delta Force ,https://www.imdb.com/title/tt0090927/,,,,,,
Delta Force 2,https://www.imdb.com/title/tt0099399/,,,,,,
OSS 117: Net of Spies,https://www.imdb.com/title/tt0464913/,,,,,,
OSS 117: Lost in Rio,https://www.imdb.com/title/tt1167660/,,,,,,
The Ultimate Gift,https://www.imdb.com/title/tt0482629/,,,,,,
The Ultimate Life,https://www.imdb.com/title/tt1778924/,,,,,,
Night of the Living Dead,https://www.imdb.com/title/tt0063350/,,,,,,
