,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
0,Spider-Man (2002),http://www.imdb.com/title/tt0145487/,7.3,73.0,121,139000000.0,114844116.0,407022860.0,825025036.0,2002-05-03,PG-13,Action Adventure Sci-Fi,USA
2,The Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,73.0,136,63000000.0,27788331.0,171479930.0,465343787.0,1999-03-31,R,Action Sci-Fi,USA
4,The Lord of the Rings: The Fellowship of the Ring (2001),http://www.imdb.com/title/tt0120737/,8.8,92.0,178,93000000.0,47211490.0,315544750.0,887832826.0,2001-12-19,PG-13,Action Adventure Drama,New Zealand
6,The Lord of the Rings: The Return of the King (2003),http://www.imdb.com/title/tt0167260/,8.9,94.0,201,94000000.0,72629713.0,377845905.0,1142219401.0,2003-12-17,PG-13,Adventure Drama Fantasy,New Zealand
8,The Hobbit: The Desolation of Smaug (2013),http://www.imdb.com/title/tt1170358/,7.8,66.0,161,225000000.0,73645197.0,258366855.0,958366855.0,2013-12-13,PG-13,Adventure Fantasy,New Zealand
10,Back to the Future (1985),http://www.imdb.com/title/tt0088763/,8.5,87.0,116,19000000.0,11152500.0,211159762.0,391341971.0,1985-07-03,PG,Adventure Comedy Sci-Fi,USA
12,Lethal Weapon (1987),http://www.imdb.com/title/tt0093409/,7.6,68.0,109,15000000.0,6829949.0,65207127.0,120207127.0,1987-03-06,R,Action Crime Thriller,USA
14,Lethal Weapon 3 (1992),http://www.imdb.com/title/tt0104714/,6.7,40.0,118,35000000.0,33243086.0,144731527.0,321731527.0,1992-05-15,R,Action Crime Thriller,USA
16,Die Hard (1988),http://www.imdb.com/title/tt0095016/,8.2,72.0,132,28000000.0,601851.0,83519093.0,141482154.0,1988-07-20,R,Action Thriller,USA
18,Die Hard with a Vengeance (1995),http://www.imdb.com/title/tt0112864/,7.6,58.0,128,90000000.0,22162245.0,100012499.0,366236538.0,1995-05-19,R,Action Adventure Thriller,USA
20,Mad Max (1979),http://www.imdb.com/title/tt0079501/,6.9,73.0,88,300000.0,,8750000.0,8771757.0,1980-03-21,R,Action Adventure Sci-Fi,Australia
22,Mad Max Beyond Thunderdome (1985),http://www.imdb.com/title/tt0089530/,6.3,71.0,107,10000000.0,7283714.0,36230219.0,36230219.0,1985-07-10,PG-13,Action Adventure Sci-Fi,Australia
24,Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,70.0,120,960000.0,,117235147.0,117235147.0,1976-12-03,PG,Drama Sport,USA
26,Rocky III (1982),http://www.imdb.com/title/tt0084602/,6.8,57.0,99,17000000.0,12431486.0,125049125.0,125049125.0,1982-05-28,PG,Drama Sport,USA
28,Rocky V (1990),http://www.imdb.com/title/tt0100507/,5.3,55.0,104,42000000.0,14073170.0,40946358.0,119946358.0,1990-11-16,PG-13,Drama Sport,USA
30,First Blood (1982),http://www.imdb.com/title/tt0083944/,7.7,61.0,93,15000000.0,6642005.0,47212904.0,125212904.0,1982-10-22,R,Action Adventure,USA
32,Rambo III (1988),http://www.imdb.com/title/tt0095956/,5.8,36.0,102,63000000.0,13034238.0,53715611.0,189015611.0,1988-05-25,R,Action Adventure,USA
34,The Terminator (1984),http://www.imdb.com/title/tt0088247/,8.0,84.0,107,6400000.0,4020663.0,38371200.0,78475971.0,1984-10-26,R,Action Sci-Fi,UK
36,Terminator 3: Rise of the Machines (2003),http://www.imdb.com/title/tt0181852/,6.3,66.0,109,200000000.0,44041440.0,150371112.0,433371112.0,2003-07-02,R,Action Sci-Fi,USA
38,Terminator Genisys (2015),https://www.imdb.com/title/tt6450804/,6.4,38.0,126,155000000.0,27018486.0,89760956.0,440603537.0,2015-07-01,PG-13,Action Adventure Sci-Fi,USA
40,RoboCop (1987),http://www.imdb.com/title/tt0093870/,7.5,67.0,102,13000000.0,8008721.0,53424681.0,53424681.0,1987-07-17,R,Action Crime Sci-Fi,USA
42,X-Men (2000),http://www.imdb.com/title/tt0120903/,7.4,64.0,104,75000000.0,54471475.0,157299718.0,296339528.0,2000-07-14,PG-13,Action Adventure Sci-Fi,USA
44,X-Men: The Last Stand (2006),http://www.imdb.com/title/tt0376994/,6.7,58.0,104,210000000.0,102750665.0,234362462.0,460435291.0,2006-05-26,PG-13,Action Adventure Sci-Fi,Canada
46,X-Men: Days of Future Past (2014),http://www.imdb.com/title/tt1877832/,8.0,75.0,132,200000000.0,90823660.0,233921534.0,746045700.0,2014-05-23,PG-13,Action Adventure Sci-Fi,USA
48,X-Men Origins: Wolverine (2009),http://www.imdb.com/title/tt0458525/,6.6,40.0,107,150000000.0,85058003.0,179883157.0,373062864.0,2009-05-01,PG-13,Action Adventure Sci-Fi,USA
50,The Fast and the Furious (2001),http://www.imdb.com/title/tt0232500/,6.8,58.0,106,38000000.0,40089015.0,144533925.0,214463726.0,2001-06-22,PG-13,Action Crime Thriller,USA
52,The Fast and the Furious: Tokyo Drift (2006),http://www.imdb.com/title/tt0463985/,6.0,45.0,104,85000000.0,23973840.0,62514415.0,158964610.0,2006-06-16,PG-13,Action Crime Thriller,USA
54,Fast Five (2011),http://www.imdb.com/title/tt1596343/,7.3,66.0,130,125000000.0,86198765.0,209837675.0,626137675.0,2011-04-29,PG-13,Action Adventure Crime,USA
