Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Spider-Man (2002),http://www.imdb.com/title/tt0145487/,7.3,73.0,121,139000000.0,114844116.0,407022860.0,825025036.0,2002-05-03,PG-13,Action Adventure Sci-Fi,USA
Spider-Man 2 (2004),http://www.imdb.com/title/tt0316654/,7.3,83.0,127,200000000.0,88156227.0,373585825.0,788976453.0,2004-06-30,PG-13,Action Adventure Sci-Fi,USA
The Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,73.0,136,63000000.0,27788331.0,171479930.0,465343787.0,1999-03-31,R,Action Sci-Fi,USA
The Matrix Reloaded (2003),http://www.imdb.com/title/tt0234215/,7.2,62.0,138,150000000.0,91774413.0,281576461.0,741846459.0,2003-05-15,R,Action Sci-Fi,USA
The Lord of the Rings: The Fellowship of the Ring (2001),http://www.imdb.com/title/tt0120737/,8.8,92.0,178,93000000.0,47211490.0,315544750.0,887832826.0,2001-12-19,PG-13,Action Adventure Drama,New Zealand
The Lord of the Rings: The Two Towers (2002),http://www.imdb.com/title/tt0167261/,8.7,87.0,179,94000000.0,62007528.0,342551365.0,951208089.0,2002-12-18,PG-13,Adventure Drama Fantasy,New Zealand
The Lord of the Rings: The Return of the King (2003),http://www.imdb.com/title/tt0167260/,8.9,94.0,201,94000000.0,72629713.0,377845905.0,1142219401.0,2003-12-17,PG-13,Adventure Drama Fantasy,New Zealand
The Hobbit: An Unexpected Journey (2012),http://www.imdb.com/title/tt0903624/,7.8,58.0,169,180000000.0,84617303.0,303003568.0,1017003568.0,2012-12-14,PG-13,Adventure Family Fantasy,New Zealand
The Hobbit: The Desolation of Smaug (2013),http://www.imdb.com/title/tt1170358/,7.8,66.0,161,225000000.0,73645197.0,258366855.0,958366855.0,2013-12-13,PG-13,Adventure Fantasy,New Zealand
The Hobbit: The Battle of the Five Armies (2014),http://www.imdb.com/title/tt2310332/,7.4,59.0,144,250000000.0,54724334.0,255119788.0,956019788.0,2014-12-17,PG-13,Adventure Fantasy,New Zealand
Back to the Future (1985),http://www.imdb.com/title/tt0088763/,8.5,87.0,116,19000000.0,11152500.0,211159762.0,391341971.0,1985-07-03,PG,Adventure Comedy Sci-Fi,USA
Back to the Future Part II (1989),http://www.imdb.com/title/tt0096874/,7.8,57.0,108,40000000.0,27835125.0,119000002.0,338936043.0,1989-11-22,PG,Adventure Comedy Sci-Fi,USA
Lethal Weapon (1987),http://www.imdb.com/title/tt0093409/,7.6,68.0,109,15000000.0,6829949.0,65207127.0,120207127.0,1987-03-06,R,Action Crime Thriller,USA
Lethal Weapon 2 (1989),http://www.imdb.com/title/tt0097733/,7.2,70.0,114,28000000.0,20388800.0,147253986.0,227853986.0,1989-07-07,R,Action Crime Thriller,USA
Lethal Weapon 3 (1992),http://www.imdb.com/title/tt0104714/,6.7,40.0,118,35000000.0,33243086.0,144731527.0,321731527.0,1992-05-15,R,Action Crime Thriller,USA
Lethal Weapon 4 (1998),http://www.imdb.com/title/tt0122151/,6.6,37.0,127,140000000.0,34048124.0,130444603.0,285444603.0,1998-07-10,R,Action Crime Thriller,USA
Die Hard (1988),http://www.imdb.com/title/tt0095016/,8.2,72.0,132,28000000.0,601851.0,83519093.0,141482154.0,1988-07-20,R,Action Thriller,USA
Die Hard 2 (1990),http://www.imdb.com/title/tt0099423/,7.2,67.0,124,70000000.0,21744661.0,117540947.0,240247433.0,1990-07-03,R,Action Thriller,USA
Die Hard with a Vengeance (1995),http://www.imdb.com/title/tt0112864/,7.6,58.0,128,90000000.0,22162245.0,100012499.0,366236538.0,1995-05-19,R,Action Adventure Thriller,USA
Live Free or Die Hard (2007),http://www.imdb.com/title/tt0337978/,7.1,69.0,128,110000000.0,33369559.0,134529403.0,388156011.0,2007-06-27,PG-13,Action Thriller,USA
Mad Max (1979),http://www.imdb.com/title/tt0079501/,6.9,73.0,88,300000.0,,8750000.0,8771757.0,1980-03-21,R,Action Adventure Sci-Fi,Australia
Mad Max 2: The Road Warrior (1981),http://www.imdb.com/title/tt0082694/,7.6,77.0,96,3000000.0,2527864.0,23667907.0,23667907.0,1982-05-21,R,Action Adventure Sci-Fi,Australia
Mad Max Beyond Thunderdome (1985),http://www.imdb.com/title/tt0089530/,6.3,71.0,107,10000000.0,7283714.0,36230219.0,36230219.0,1985-07-10,PG-13,Action Adventure Sci-Fi,Australia
Mad Max: Fury Road (2015),https://www.imdb.com/title/tt1392190/,8.1,90.0,120,150000000.0,45428128.0,154058340.0,375209362.0,2015-05-15,R,Action Adventure Sci-Fi,Australia
Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,70.0,120,960000.0,,117235147.0,117235147.0,1976-12-03,PG,Drama Sport,USA
Rocky II (1979),http://www.imdb.com/title/tt0079817/,7.3,61.0,119,7000000.0,6390537.0,85182160.0,85182160.0,1979-06-15,PG,Drama Sport,USA
Rocky III (1982),http://www.imdb.com/title/tt0084602/,6.8,57.0,99,17000000.0,12431486.0,125049125.0,125049125.0,1982-05-28,PG,Drama Sport,USA
Rocky IV (1985),http://www.imdb.com/title/tt0089927/,6.9,40.0,91,30000000.0,19991537.0,127873716.0,300473716.0,1985-11-27,PG,Drama Sport,USA
Rocky V (1990),http://www.imdb.com/title/tt0100507/,5.3,55.0,104,42000000.0,14073170.0,40946358.0,119946358.0,1990-11-16,PG-13,Drama Sport,USA
Rocky Balboa (2006),http://www.imdb.com/title/tt0479143/,7.1,63.0,102,24000000.0,12158168.0,70270943.0,155929020.0,2006-12-20,PG,Action Drama Sport,USA
First Blood (1982),http://www.imdb.com/title/tt0083944/,7.7,61.0,93,15000000.0,6642005.0,47212904.0,125212904.0,1982-10-22,R,Action Adventure,USA
Rambo: First Blood Part II (1985),http://www.imdb.com/title/tt0089880/,6.5,47.0,96,44000000.0,20176217.0,150415432.0,300400432.0,1985-05-22,R,Action Adventure Thriller,USA
Rambo III (1988),http://www.imdb.com/title/tt0095956/,5.8,36.0,102,63000000.0,13034238.0,53715611.0,189015611.0,1988-05-25,R,Action Adventure,USA
Rambo (2008),http://www.imdb.com/title/tt0462499/,7.0,46.0,92,50000000.0,18203876.0,42754105.0,113244290.0,2008-01-25,R,Action Thriller War,Germany
The Terminator (1984),http://www.imdb.com/title/tt0088247/,8.0,84.0,107,6400000.0,4020663.0,38371200.0,78475971.0,1984-10-26,R,Action Sci-Fi,UK
Terminator 2: Judgment Day (1991),http://www.imdb.com/title/tt0103064/,8.5,75.0,137,102000000.0,31765506.0,205881154.0,520884847.0,1991-07-03,R,Action Sci-Fi,USA
Terminator 3: Rise of the Machines (2003),http://www.imdb.com/title/tt0181852/,6.3,66.0,109,200000000.0,44041440.0,150371112.0,433371112.0,2003-07-02,R,Action Sci-Fi,USA
Terminator Salvation (2009),https://www.imdb.com/title/tt1340138/,6.5,49.0,115,200000000.0,42558390.0,125322469.0,371353001.0,2009-05-21,PG-13,Action Adventure Sci-Fi,USA
Terminator Genisys (2015),https://www.imdb.com/title/tt6450804/,6.4,38.0,126,155000000.0,27018486.0,89760956.0,440603537.0,2015-07-01,PG-13,Action Adventure Sci-Fi,USA
Terminator: Dark Fate (2019),https://www.imdb.com/title/tt6450804/,6.3,54.0,128,185000000.0,29033832.0,62253077.0,261119292.0,2019-11-01,R,Action Adventure Sci-Fi,China
RoboCop (1987),http://www.imdb.com/title/tt0093870/,7.5,67.0,102,13000000.0,8008721.0,53424681.0,53424681.0,1987-07-17,R,Action Crime Sci-Fi,USA
RoboCop 2 (1990),http://www.imdb.com/title/tt0100502/,5.8,42.0,117,25000000.0,14145411.0,45681173.0,45681173.0,1990-06-22,R,Action Crime Sci-Fi,USA
X-Men (2000),http://www.imdb.com/title/tt0120903/,7.4,64.0,104,75000000.0,54471475.0,157299718.0,296339528.0,2000-07-14,PG-13,Action Adventure Sci-Fi,USA
X2: X-Men United (2003),http://www.imdb.com/title/tt0290334/,7.4,68.0,134,110000000.0,85558731.0,214949694.0,407711549.0,2003-05-02,PG-13,Action Sci-Fi Thriller,Canada
X-Men: The Last Stand (2006),http://www.imdb.com/title/tt0376994/,6.7,58.0,104,210000000.0,102750665.0,234362462.0,460435291.0,2006-05-26,PG-13,Action Adventure Sci-Fi,Canada
X: First Class (2011),http://www.imdb.com/title/tt1270798/,7.7,65.0,131,160000000.0,55101604.0,146408305.0,352616690.0,2011-06-03,PG-13,Action Adventure Sci-Fi,USA
X-Men: Days of Future Past (2014),http://www.imdb.com/title/tt1877832/,8.0,75.0,132,200000000.0,90823660.0,233921534.0,746045700.0,2014-05-23,PG-13,Action Adventure Sci-Fi,USA
X-Men: Apocalypse (2016),https://www.imdb.com/title/tt3385516/,6.9,52.0,144,178000000.0,65769562.0,155442489.0,543934105.0,2016-05-27,PG-13,Action Adventure Sci-Fi,USA
X-Men Origins: Wolverine (2009),http://www.imdb.com/title/tt0458525/,6.6,40.0,107,150000000.0,85058003.0,179883157.0,373062864.0,2009-05-01,PG-13,Action Adventure Sci-Fi,USA
The Wolverine (2013),http://www.imdb.com/title/tt1430132/,6.7,61.0,126,120000000.0,53113752.0,132556852.0,414828246.0,2013-07-26,PG-13,Action Adventure Sci-Fi,USA
The Fast and the Furious (2001),http://www.imdb.com/title/tt0232500/,6.8,58.0,106,38000000.0,40089015.0,144533925.0,214463726.0,2001-06-22,PG-13,Action Crime Thriller,USA
2 Fast 2 Furious (2003),http://www.imdb.com/title/tt0322259/,5.9,38.0,107,76000000.0,50472480.0,127154901.0,236350661.0,2003-06-06,PG-13,Action Crime Thriller,USA
The Fast and the Furious: Tokyo Drift (2006),http://www.imdb.com/title/tt0463985/,6.0,45.0,104,85000000.0,23973840.0,62514415.0,158964610.0,2006-06-16,PG-13,Action Crime Thriller,USA
Fast & Furious (2009),http://www.imdb.com/title/tt1013752/,6.6,46.0,107,85000000.0,70950500.0,155064265.0,360364265.0,2009-04-03,PG-13,Action Thriller,USA
Fast Five (2011),http://www.imdb.com/title/tt1596343/,7.3,66.0,130,125000000.0,86198765.0,209837675.0,626137675.0,2011-04-29,PG-13,Action Adventure Crime,USA
Furious 6 (2013),http://www.imdb.com/title/tt1905041/,7.1,61.0,130,160000000.0,97375245.0,238679850.0,788679850.0,2013-05-24,PG-13,Action Adventure Thriller,USA
Furious 7 (2015),http://www.imdb.com/title/tt2820852/,7.1,67.0,137,190000000.0,147187040.0,353007020.0,1515047671.0,2015-04-03,PG-13,Action Adventure Thriller,USA
The Fate of the Furious (2017),https://www.imdb.com/title/tt4630562/,6.7,56.0,136,250000000.0,98786705.0,226008385.0,1236005118.0,2017-04-14,PG-13,Action Adventure Crime,China
xXx (2002),http://www.imdb.com/title/tt0295701/,5.9,48.0,124,70000000.0,44506103.0,142109382.0,277448382.0,2002-08-09,PG-13,Action Adventure Thriller,USA
xXx: State of the Union (2005),http://www.imdb.com/title/tt0329774/,4.4,37.0,101,113000000.0,12712272.0,26873932.0,71022693.0,2005-04-29,PG-13,Action Adventure Crime,USA
Pitch Black (2000),http://www.imdb.com/title/tt0134847/,7.1,49.0,109,23000000.0,11577688.0,39240659.0,53187659.0,2000-02-18,R,Action Horror Sci-Fi,USA
The Chronicles of Riddick (2004),http://www.imdb.com/title/tt0296572/,6.7,38.0,119,105000000.0,24289165.0,57761012.0,115900534.0,2004-06-11,R,Action Adventure Sci-Fi,USA
