Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Spider-Man (2002),http://www.imdb.com/title/tt0145487/,7.3,73,121,"$139,000,000 ",114844116,407022860,825025036,3-May-02,PG-13,Action Adventure Sci-Fi,USA
Spider-Man 2 (2004),http://www.imdb.com/title/tt0316654/,7.3,83,127,"$200,000,000 ",88156227,373585825,788976453,30-Jun-04,PG-13,Action Adventure Sci-Fi,USA
The Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,73,136,"$63,000,000 ",27788331,171479930,465343787,31-Mar-99,R,Action Sci-Fi,USA
The Matrix Reloaded (2003),http://www.imdb.com/title/tt0234215/,7.2,62,138,"$150,000,000 ",91774413,281576461,741846459,15-May-03,R,Action Sci-Fi,USA
The Lord of the Rings: The Fellowship of the Ring (2001),http://www.imdb.com/title/tt0120737/,8.8,92,178,"$93,000,000 ",47211490,315544750,887832826,19-Dec-01,PG-13,Action Adventure Drama,New Zealand
The Lord of the Rings: The Two Towers (2002),http://www.imdb.com/title/tt0167261/,8.7,87,179,"$94,000,000 ",62007528,342551365,951208089,18-Dec-02,PG-13,Adventure Drama Fantasy,New Zealand
The Lord of the Rings: The Return of the King (2003),http://www.imdb.com/title/tt0167260/,8.9,94,201,"$94,000,000 ",72629713,377845905,1142219401,17-Dec-03,PG-13,Adventure Drama Fantasy,New Zealand
The Hobbit: An Unexpected Journey (2012),http://www.imdb.com/title/tt0903624/,7.8,58,169,"$180,000,000 ",84617303,303003568,1017003568,14-Dec-12,PG-13,Adventure Family Fantasy,New Zealand
The Hobbit: The Desolation of Smaug (2013),http://www.imdb.com/title/tt1170358/,7.8,66,161,"$225,000,000 ",73645197,258366855,958366855,13-Dec-13,PG-13,Adventure Fantasy,New Zealand
The Hobbit: The Battle of the Five Armies (2014),http://www.imdb.com/title/tt2310332/,7.4,59,144,"$250,000,000 ",54724334,255119788,956019788,17-Dec-14,PG-13,Adventure Fantasy,New Zealand
Back to the Future (1985),http://www.imdb.com/title/tt0088763/,8.5,87,116,"$19,000,000 ",11152500,211159762,391341971,3-Jul-85,PG,Adventure Comedy Sci-Fi,USA
Back to the Future Part II (1989),http://www.imdb.com/title/tt0096874/,7.8,57,108,"$40,000,000 ",27835125,119000002,338936043,22-Nov-89,PG,Adventure Comedy Sci-Fi,USA
Lethal Weapon (1987),http://www.imdb.com/title/tt0093409/,7.6,68,109,"$15,000,000 ",6829949,65207127,120207127,6-Mar-87,R,Action Crime Thriller,USA
Lethal Weapon 2 (1989),http://www.imdb.com/title/tt0097733/,7.2,70,114,"$28,000,000 ",20388800,147253986,227853986,7-Jul-89,R,Action Crime Thriller,USA
Lethal Weapon 3 (1992),http://www.imdb.com/title/tt0104714/,6.7,40,118,"$35,000,000 ",33243086,144731527,321731527,15-May-92,R,Action Crime Thriller,USA
Lethal Weapon 4 (1998),http://www.imdb.com/title/tt0122151/,6.6,37,127,"$140,000,000 ",34048124,130444603,285444603,10-Jul-98,R,Action Crime Thriller,USA
Die Hard (1988),http://www.imdb.com/title/tt0095016/,8.2,72,132,"$28,000,000 ",601851,83519093,141482154,20-Jul-88,R,Action Thriller,USA
Die Hard 2 (1990),http://www.imdb.com/title/tt0099423/,7.2,67,124,"$70,000,000 ",21744661,117540947,240247433,3-Jul-90,R,Action Thriller,USA
Die Hard with a Vengeance (1995),http://www.imdb.com/title/tt0112864/,7.6,58,128,"$90,000,000 ",22162245,100012499,366236538,19-May-95,R,Action Adventure Thriller,USA
Live Free or Die Hard (2007),http://www.imdb.com/title/tt0337978/,7.1,69,128,"$110,000,000 ",33369559,134529403,388156011,27-Jun-07,PG-13,Action Thriller,USA
Mad Max (1979),http://www.imdb.com/title/tt0079501/,6.9,73,88,"$300,000 ",None,8750000,8771757,21-Mar-80,R,Action Adventure Sci-Fi,Australia
Mad Max 2: The Road Warrior (1981),http://www.imdb.com/title/tt0082694/,7.6,77,96,"$3,000,000 ",2527864,23667907,23667907,21-May-82,R,Action Adventure Sci-Fi,Australia
Mad Max Beyond Thunderdome (1985),http://www.imdb.com/title/tt0089530/,6.3,71,107,"$10,000,000 ",7283714,36230219,36230219,10-Jul-85,PG-13,Action Adventure Sci-Fi,Australia
Mad Max: Fury Road (2015),https://www.imdb.com/title/tt1392190/,8.1,90,120,"$150,000,000 ",45428128,154058340,375209362,15-May-15,R,Action Adventure Sci-Fi,Australia
Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,70,120,"$960,000 ",None,117235147,117235147,3-Dec-76,PG,Drama Sport,USA
Rocky II (1979),http://www.imdb.com/title/tt0079817/,7.3,61,119,"$7,000,000 ",6390537,85182160,85182160,15-Jun-79,PG,Drama Sport,USA
Rocky III (1982),http://www.imdb.com/title/tt0084602/,6.8,57,99,"$17,000,000 ",12431486,125049125,125049125,28-May-82,PG,Drama Sport,USA
Rocky IV (1985),http://www.imdb.com/title/tt0089927/,6.9,40,91,"$30,000,000 ",19991537,127873716,300473716,27-Nov-85,PG,Drama Sport,USA
Rocky V (1990),http://www.imdb.com/title/tt0100507/,5.3,55,104,"$42,000,000 ",14073170,40946358,119946358,16-Nov-90,PG-13,Drama Sport,USA
Rocky Balboa (2006),http://www.imdb.com/title/tt0479143/,7.1,63,102,"$24,000,000 ",12158168,70270943,155929020,20-Dec-06,PG,Action Drama Sport,USA
First Blood (1982),http://www.imdb.com/title/tt0083944/,7.7,61,93,"$15,000,000 ",6642005,47212904,125212904,22-Oct-82,R,Action Adventure,USA
Rambo: First Blood Part II (1985),http://www.imdb.com/title/tt0089880/,6.5,47,96,"$44,000,000 ",20176217,150415432,300400432,22-May-85,R,Action Adventure Thriller,USA
Rambo III (1988),http://www.imdb.com/title/tt0095956/,5.8,36,102,"$63,000,000 ",13034238,53715611,189015611,25-May-88,R,Action Adventure,USA
Rambo (2008),http://www.imdb.com/title/tt0462499/,7,46,92,"$50,000,000 ",18203876,42754105,113244290,25-Jan-08,R,Action Thriller War,Germany
The Terminator (1984),http://www.imdb.com/title/tt0088247/,8,84,107,"$6,400,000 ",4020663,38371200,78475971,26-Oct-84,R,Action Sci-Fi,UK
Terminator 2: Judgment Day (1991),http://www.imdb.com/title/tt0103064/,8.5,75,137,"$102,000,000 ",31765506,205881154,520884847,3-Jul-91,R,Action Sci-Fi,USA
