Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Spider-Man (2002),https://www.imdb.com/title/tt0108656/,7.3,73,121,$139000000,114844116,407022860,825025036,3 May 2002,PG-13,Action Adventure Sci-Fi,USA
Spider-Man 2 (2004),https://www.imdb.com/title/tt0108656/,7.3,83,127,$200000000,88156227,373585825,788976453,30 June 2004,PG-13,Action Adventure Sci-Fi,USA
Spider-Man 3 (2007),https://www.imdb.com/title/tt0108656/,6.2,59,139,$258000000,151116516,336530303,894983373,4 May 2007,PG-13,Action Adventure Sci-Fi,USA
The Matrix (1999),https://www.imdb.com/title/tt0108656/,8.7,73,136,$63000000,27788331,171479930,465343787,31 March 1999,R,Action Sci-Fi,USA
The Matrix Reloaded (2003),https://www.imdb.com/title/tt0108656/,7.2,62,138,$150000000,91774413,281576461,741846459,15 May 2003,R,Action Sci-Fi,USA
The Matrix Revolutions (2003),https://www.imdb.com/title/tt0108656/,6.8,47,129,$150000000,48475154,139313948,427344031,5 November 2003,R,Action Sci-Fi,USA
The Lord of the Rings: The Fellowship of the Ring (2001),https://www.imdb.com/title/tt0108656/,8.8,92,178,$93000000,47211490,315544750,887832826,19 December 2001,PG-13,Action Adventure Drama,New Zealand
The Lord of the Rings: The Two Towers (2002),https://www.imdb.com/title/tt0108656/,8.7,87,179,$94000000,62007528,342551365,951208089,18 December 2002,PG-13,Adventure Drama Fantasy,New Zealand
The Lord of the Rings: The Return of the King (2003),https://www.imdb.com/title/tt0108656/,8.9,94,201,$94000000,72629713,377845905,1142219401,17 December 2003,PG-13,Adventure Drama Fantasy,New Zealand
Back to the Future (1985),https://www.imdb.com/title/tt0108656/,8.5,87,116,$19000000,11152500,211159762,391341971,3 July 1985,PG,Adventure Comedy Sci-Fi,USA
Back to the Future Part II (1989),https://www.imdb.com/title/tt0108656/,7.8,57,108,$40000000,27835125,119000002,338936043,22 November 1989,PG,Adventure Comedy Sci-Fi,USA
Back to the Future Part III (1990),https://www.imdb.com/title/tt0108656/,7.4,55,118,$40000000,19089645,88277583,249130916,25 May 1990,PG,Adventure Comedy Sci-Fi,USA
Lethal Weapon (1987),https://www.imdb.com/title/tt0108656/,7.6,68,109,$15000000,6829949,65207127,120207127,6 March 1987,R,Action Crime Thriller,USA
Lethal Weapon 2 (1989),https://www.imdb.com/title/tt0108656/,7.2,70,114,$28000000,20388800,147253986,227853986,7 July 1989,R,Action Crime Thriller,USA
Lethal Weapon 3 (1992),https://www.imdb.com/title/tt0108656/,6.7,40,118,$35000000,33243086,144731527,321731527,15 May 1992,R,Action Crime Thriller,USA
Lethal Weapon 4 (1998),https://www.imdb.com/title/tt0108656/,6.6,37,127,$140000000,34048124,130444603,285444603,10 July 1998,R,Action Crime Thriller,USA
Die Hard (1988),https://www.imdb.com/title/tt0108656/,8.2,72,132,$28000000,601851,83519093,141482154,20 July 1988,R,Action Thriller,USA
Die Hard 2 (1990),https://www.imdb.com/title/tt0108656/,7.2,67,124,$70000000,21744661,117540947,240247433,3 July 1990,R,Action Thriller,USA
Die Hard with a Vengeance (1995),https://www.imdb.com/title/tt0108656/,7.6,58,128,$90000000,22162245,100012499,366236538,19 May 1995,R,Action Adventure Thriller,USA
Live Free or Die Hard (2007),https://www.imdb.com/title/tt0108656/,7.1,69,128,$110000000,33369559,134529403,388156011,27 June 2007,PG-13,Action Thriller,USA
A Good Day to Die Hard (2013),https://www.imdb.com/title/tt0108656/,5.3,28,98,$92000000,24834845,67349198,304654182,14 February 2013,R,Action Thriller,USA
Mad Max (1979),https://www.imdb.com/title/tt0108656/,6.9,73,88,$300000,None,8750000,8771757,21 March 1980,R,Action Adventure Sci-Fi,Australia
Mad Max 2: The Road Warrior (1981),https://www.imdb.com/title/tt0108656/,7.6,77,96,$3000000,2527864,23667907,23667907,21 May 1982,R,Action Adventure Sci-Fi,Australia
