Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Mary Poppins (1964),https://www.imdb.com/title/tt0058331/,7.8,88,139,$6000000,None,102272727,103078700,18 June 1965,G,Comedy Family Fantasy,USA
Mary Poppins Returns (2018),https://www.imdb.com/title/tt5028340/,6.7,66,130,$130000000,23523121,171958438,349537494,19 December 2018,PG,Comedy Family Fantasy,USA
Airplane! (1980),https://www.imdb.com/title/tt0080339/,7.7,78,88,$3500000,None,83453539,83453539,2 July 1980,PG,Comedy,USA
Airplane II: The Sequel (1982),https://www.imdb.com/title/tt0083530/,6.2,48,85,$15000000,5329208,27150534,27150534,10 December 1982,PG,Comedy Sci-Fi,USA
The Human Centipede (First Sequence) (2009),https://www.imdb.com/title/tt1467304/,4.4,33,92,EUR1500000,12424,181467,325113,28 April 2010,R,Horror,Netherlands
The Human Centipede II (Full Sequence) (2011),https://www.imdb.com/title/tt1530509/,3.8,17,91,None,49456,141877,170323,November 2011,Not Rated,Horror,USA
The Brady Bunch Movie (1995),https://www.imdb.com/title/tt0112572/,6.0,54,90,$12000000,14827066,46576136,46576136,17 February 1995,PG-13,Comedy,USA
A Very Brady Sequel (1996),https://www.imdb.com/title/tt0118073/,5.7,56,90,$12000000,7052045,21440752,21440752,23 August 1996,PG-13,Comedy,USA
Sister Act (1992),https://www.imdb.com/title/tt0105417/,6.4,51,100,$31000000,11894587,139605150,231605150,29 May 1992,PG,Comedy Crime Family,USA
Sister Act 2: Back in the Habit (1993),https://www.imdb.com/title/tt0108147/,5.6,38,107,$38000000,7569219,57319029,57319029,10 December 1993,PG,Comedy Family Music,USA
Kiss the Girls (1997),https://www.imdb.com/title/tt0119468/,6.6,46,115,$27000000,13215167,60527873,60527873,3 October 1997,R,Crime Drama Mystery,USA
Along Came a Spider (2001),https://www.imdb.com/title/tt0164334/,6.4,42,104,$60000000,16712407,74078174,105178561,6 April 2001,R,Drama Thriller,USA
Unfriended (2014),https://www.imdb.com/title/tt3713166/,5.5,59,83,$1000000,15845115,32482090,62882090,17 April 2015,R,Horror Mystery Thriller,USA
Unfriended: Dark Web (2018),https://www.imdb.com/title/tt4761916/,5.9,53,92,$1000000,3653035,8866745,16024987,20 July 2018,R,Horror Mystery Thriller,USA
House of 1000 Corpses (2003),https://www.imdb.com/title/tt0251736/,6.1,31,89,$7000000,3400000,12634962,16829545,11 April 2003,R,Horror,USA
The Devil's Rejects (2005),https://www.imdb.com/title/tt0395584/,6.8,53,107,$7000000,7067335,17044981,20901859,22 July 2005,R,Horror,USA
Journey to the Center of the Earth (2008),https://www.imdb.com/title/tt0373051/,5.8,57,93,$60000000,21018141,101704370,244232688,11 July 2008,PG,Action Adventure Family,USA
