Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Koi... Mil Gaya,http://www.imdb.com/title/tt0254481/,2003,7.1,None,Not Rated,Action Drama Romance,171
Krrish,http://www.imdb.com/title/tt0432637/,2006,6.4,68,Not Rated,Action Sci-Fi,154
Krrish 3,http://www.imdb.com/title/tt1029231/,2013,5.2,None,Not Rated,Action Sci-Fi,152
Dhoom,http://www.imdb.com/title/tt0422091/,2004,6.7,None,Not Rated,Action Thriller,129
Dhoom 2,http://www.imdb.com/title/tt0441048/,2006,6.5,None,Not Rated,Action Thriller,152
Dhoom 3,http://www.imdb.com/title/tt1833673/,2013,5.4,61,Not Rated,Action Thriller,172
Hotchpotch: Fun Unlimited,http://www.imdb.com/title/tt0495034/,2006,7.4,None,None,Action Comedy Drama,150
Hotchpotch Returns,http://www.imdb.com/title/tt1092005/,2008,5.1,None,Not Rated,Comedy Crime,135
Hotchpotch 3,http://www.imdb.com/title/tt1562859/,2010,5.5,None,Not Rated,Action Comedy,155
Don 2,http://www.imdb.com/title/tt1285241/,2011,7.1,49,Not Rated,Action Crime Thriller,148
Munna Bhai M.B.B.S.,http://www.imdb.com/title/tt0374887/,2003,8.1,None,Not Rated,Comedy Drama Musical,156
Lage Raho Munna Bhai,http://www.imdb.com/title/tt0456144/,2006,8.1,None,PG-13,Comedy Drama Romance,144
Hera Pheri,http://www.imdb.com/title/tt0242519/,2000,8.2,None,Not Rated,Action Comedy Crime,156
Phir Hera Pheri,http://www.imdb.com/title/tt0419058/,2006,6.8,None,None,Comedy Crime,153
Government,http://www.imdb.com/title/tt0432047/,2005,7.6,None,Not Rated,Action Crime Drama,124
Reign of Government,http://www.imdb.com/title/tt0490210/,2008,6.8,None,Not Rated,Crime Drama,125
Vaastav: The Reality,http://www.imdb.com/title/tt0220832/,1999,8,None,Not Rated,Action Crime Drama,145
Hathyar: Face to Face with Reality,http://www.imdb.com/title/tt0337633/,2002,5.7,None,Not Rated,Action Crime Drama,140
Nagina,http://www.imdb.com/title/tt0091601/,1986,6.5,None,Not Rated,Fantasy Romance,137
Nigahen: Nagina Part II,http://www.imdb.com/title/tt0187351/,1989,5.2,None,Not Rated,Drama Family Fantasy,140
Bheja Fry,http://www.imdb.com/title/tt1014672/,2007,7.6,None,PG-13,Comedy Drama,95
Bheja Fry 2,http://www.imdb.com/title/tt1939654/,2011,4.7,None,Not Rated,Comedy Drama,129
