Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Dr. No,http://www.imdb.com/title/tt0055928/,1962,7.2,78,PG,Action Adventure Thriller,110
From Russia with Love,http://www.imdb.com/title/tt0057076/,1963,7.4,84,PG,Action Adventure Thriller,115
Goldfinger,http://www.imdb.com/title/tt0058150/,1964,7.7,87,PG,Action Adventure Thriller,110
Thunderball,http://www.imdb.com/title/tt0059800/,1965,7,64,PG,Action Adventure Thriller,130
You Only Live Twice,http://www.imdb.com/title/tt0062512/,1967,6.9,61,PG,Action Adventure Thriller,117
Casino Royale,http://www.imdb.com/title/tt0061452/,1967,5.2,48,Not Rated,Comedy,131
On Her Majesty's Secret Service,http://www.imdb.com/title/tt0064757/,1969,6.7,61,PG,Action Adventure Thriller,142
Diamonds Are Forever,http://www.imdb.com/title/tt0066995/,1971,6.6,59,PG,Action Adventure Thriller,120
Live and Let Die,http://www.imdb.com/title/tt0070328/,1973,6.8,55,PG,Action Adventure Thriller,121
The Man with the Golden Gun,http://www.imdb.com/title/tt0071807/,1974,6.8,43,PG,Action Adventure Thriller,125
The Spy Who Loved Me,http://www.imdb.com/title/tt0076752/,1977,7.1,55,PG,Action Adventure Thriller,125
Moonraker,http://www.imdb.com/title/tt0079574/,1979,6.3,66,PG,Action Adventure Sci-Fi,126
For Your Eyes Only,http://www.imdb.com/title/tt0082398/,1981,6.8,54,PG,Action Adventure Thriller,127
Octopussy,http://www.imdb.com/title/tt0086034/,1983,6.6,63,PG,Action Adventure Thriller,131
Never Say Never Again,http://www.imdb.com/title/tt0086006/,1983,6.2,68,PG,Action Adventure Thriller,134
A View to a Kill,http://www.imdb.com/title/tt0090264/,1985,6.4,40,PG,Action Adventure Thriller,131
The Living Daylights,http://www.imdb.com/title/tt0093428/,1987,6.7,60,PG,Action Adventure Thriller,130
Licence to Kill,http://www.imdb.com/title/tt0097742/,1989,6.6,58,PG-13,Action Adventure Thriller,133
GoldenEye,http://www.imdb.com/title/tt0113189/,1995,7.2,65,PG-13,Action Adventure Thriller,130
Tomorrow Never Dies,http://www.imdb.com/title/tt0120347/,1997,6.5,52,PG-13,Action Adventure Thriller,119
The World Is Not Enough,http://www.imdb.com/title/tt0143145/,1999,6.4,57,PG-13,Action Adventure Thriller,128
Die Another Day,http://www.imdb.com/title/tt0246460/,2002,6.1,56,PG-13,Action Adventure Thriller,133
Casino Royale,http://www.imdb.com/title/tt0381061/,2006,8,80,PG-13,Action Adventure Thriller,144
Quantum of Solace,http://www.imdb.com/title/tt0830515/,2008,6.6,58,PG-13,Action Adventure Thriller,106
Skyfall,http://www.imdb.com/title/tt1074638/,2012,7.7,81,PG-13,Action Adventure Thriller,143
Spectre,http://www.imdb.com/title/tt2379713/,2015,6.8,60,PG-13,Action Adventure Thriller,148
