Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Diary of a Mad Black Woman,http://www.imdb.com/title/tt0422093/,2005,5.7,36,PG-13,Comedy Drama Romance,116
Madea's Family Reunion,http://www.imdb.com/title/tt0455612/,2006,5.2,45,PG-13,Comedy Drama Romance,107
Madea Goes to Jail,http://www.imdb.com/title/tt1142800/,2009,4.4,50,PG-13,Comedy Crime Drama,103
I Can Do Bad All by Myself,http://www.imdb.com/title/tt1385912/,2009,4.5,55,PG-13,Comedy Drama,113
Madea's Big Happy Family,http://www.imdb.com/title/tt1787759/,2011,4.7,45,PG-13,Comedy Drama,106
Madea's Witness Protection,http://www.imdb.com/title/tt2215285/,2012,4.9,42,PG-13,Comedy Crime Drama,114
A Madea Christmas,http://www.imdb.com/title/tt2609758/,2013,4.8,28,PG-13,Comedy Drama Romance,100
Madea's Tough Love,http://www.imdb.com/title/tt4185364/,2015,5.2,None,PG,Comedy,64
Tyler Perry's Boo! A Madea Halloween,http://www.imdb.com/title/tt5325452/,2016,4.6,30,PG-13,Comedy Drama Horror,103
Boo 2! A Madea Halloween,http://www.imdb.com/title/tt6217804/,2017,3.8,17,PG-13,Comedy Drama Horror,101
Tyler Perry's A Madea Family Funeral,http://www.imdb.com/title/tt7054636/,2019,4.4,39,PG-13,Comedy,109
