Title,url,Year-Rel-Type,IMDB Score,Metacritic Score,Rating,Genre,Runtime
Spider-Man,http://www.imdb.com/title/tt0145487/,2002,7.3,73,PG-13,Action Adventure Sci-Fi,121
Spider-Man 2,http://www.imdb.com/title/tt0316654/,2004,7.3,83,PG-13,Action Adventure Sci-Fi,127
Spider-Man 3,http://www.imdb.com/title/tt0413300/,2007,6.2,59,PG-13,Action Adventure Sci-Fi,139
The Matrix,http://www.imdb.com/title/tt0133093/,1999,8.7,73,R,Action Sci-Fi,136
The Matrix Reloaded,http://www.imdb.com/title/tt0234215/,2003,7.2,62,R,Action Sci-Fi,138
The Matrix Revolutions,http://www.imdb.com/title/tt0242653/,2003,6.8,47,R,Action Sci-Fi,129
The Lord of the Rings: The Fellowship of the Ring,http://www.imdb.com/title/tt0120737/,2001,8.8,92,PG-13,Action Adventure Drama,178
The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/,2002,8.7,87,PG-13,Adventure Drama Fantasy,179
The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/,2003,8.9,94,PG-13,Adventure Drama Fantasy,201
Back to the Future,http://www.imdb.com/title/tt0088763/,1985,8.5,87,PG,Adventure Comedy Sci-Fi,116
Back to the Future Part II,http://www.imdb.com/title/tt0096874/,1989,7.8,57,PG,Adventure Comedy Sci-Fi,108
Back to the Future Part III,http://www.imdb.com/title/tt0099088/,1990,7.4,55,PG,Adventure Comedy Sci-Fi,118
Lethal Weapon,http://www.imdb.com/title/tt0093409/,1987,7.6,68,R,Action Crime Thriller,109
Lethal Weapon 2,http://www.imdb.com/title/tt0097733/,1989,7.2,70,R,Action Crime Thriller,114
Lethal Weapon 3,http://www.imdb.com/title/tt0104714/,1992,6.7,40,R,Action Crime Thriller,118
Lethal Weapon 4,http://www.imdb.com/title/tt0122151/,1998,6.6,37,R,Action Crime Thriller,127
Die Hard,http://www.imdb.com/title/tt0095016/,1988,8.2,72,R,Action Thriller,132
Die Hard 2,http://www.imdb.com/title/tt0099423/,1990,7.2,67,R,Action Thriller,124
Die Hard with a Vengeance,http://www.imdb.com/title/tt0112864/,1995,7.6,58,R,Action Adventure Thriller,128
Live Free or Die Hard,http://www.imdb.com/title/tt0337978/,2007,7.1,69,PG-13,Action Thriller,128
A Good Day to Die Hard,http://www.imdb.com/title/tt1606378/,2013,5.3,28,R,Action Thriller,98
Mad Max,http://www.imdb.com/title/tt0079501/,1979,6.9,73,R,Action Adventure Sci-Fi,88
Mad Max 2: The Road Warrior,http://www.imdb.com/title/tt0082694/,1981,7.6,77,R,Action Adventure Sci-Fi,96
Mad Max Beyond Thunderdome,http://www.imdb.com/title/tt0089530/,1985,6.3,71,PG-13,Action Adventure Sci-Fi,107
Rocky,http://www.imdb.com/title/tt0075148/,1976,8.1,70,PG,Drama Sport,120
Rocky II,http://www.imdb.com/title/tt0079817/,1979,7.3,61,PG,Drama Sport,119
Rocky III,http://www.imdb.com/title/tt0084602/,1982,6.8,57,PG,Drama Sport,99
Rocky IV,http://www.imdb.com/title/tt0089927/,1985,6.9,40,PG,Drama Sport,91
Rocky V,http://www.imdb.com/title/tt0100507/,1990,5.3,55,PG-13,Drama Sport,104
Rocky Balboa,http://www.imdb.com/title/tt0479143/,2006,7.1,63,PG,Action Drama Sport,102
First Blood,http://www.imdb.com/title/tt0083944/,1982,7.7,61,R,Action Adventure,93
Rambo: First Blood Part II,http://www.imdb.com/title/tt0089880/,1985,6.5,47,R,Action Adventure Thriller,96
Rambo III,http://www.imdb.com/title/tt0095956/,1988,5.8,36,R,Action Adventure,102
Rambo,http://www.imdb.com/title/tt0462499/,2008,7,46,R,Action Thriller,92
The Terminator,http://www.imdb.com/title/tt0088247/,1984,8,84,R,Action Sci-Fi,107
Terminator 2: Judgment Day,http://www.imdb.com/title/tt0103064/,1991,8.5,75,R,Action Sci-Fi,137
Terminator 3: Rise of the Machines,http://www.imdb.com/title/tt0181852/,2003,6.3,66,R,Action Sci-Fi,109
Terminator Salvation,http://www.imdb.com/title/tt0438488/,2009,6.5,49,PG-13,Action Adventure Sci-Fi,115
RoboCop,http://www.imdb.com/title/tt0093870/,1987,7.5,67,R,Action Crime Sci-Fi,102
RoboCop 2,http://www.imdb.com/title/tt0100502/,1990,5.8,42,R,Action Crime Sci-Fi,117
RoboCop 3,http://www.imdb.com/title/tt0107978/,1993,4.1,40,PG-13,Action Crime Sci-Fi,104
X-Men,http://www.imdb.com/title/tt0120903/,2000,7.4,64,PG-13,Action Adventure Sci-Fi,104
X2: X-Men United,http://www.imdb.com/title/tt0290334/,2003,7.4,68,PG-13,Action Sci-Fi Thriller,134
X-Men: The Last Stand,http://www.imdb.com/title/tt0376994/,2006,6.7,58,PG-13,Action Adventure Sci-Fi,104
X: First Class,http://www.imdb.com/title/tt1270798/,2011,7.7,65,PG-13,Action Adventure Sci-Fi,131
X-Men: Days of Future Past,http://www.imdb.com/title/tt1877832/,2014,8,75,PG-13,Action Adventure Sci-Fi,132
X-Men Origins: Wolverine,http://www.imdb.com/title/tt0458525/,2009,6.6,40,PG-13,Action Adventure Sci-Fi,107
The Wolverine,http://www.imdb.com/title/tt1430132/,2013,6.7,61,PG-13,Action Adventure Sci-Fi,126
The Fast and the Furious,http://www.imdb.com/title/tt0232500/,2001,6.8,58,PG-13,Action Crime Thriller,106
2 Fast 2 Furious,http://www.imdb.com/title/tt0322259/,2003,5.9,38,PG-13,Action Crime Thriller,107
The Fast and the Furious: Tokyo Drift,http://www.imdb.com/title/tt0463985/,2006,6,45,PG-13,Action Crime Thriller,104
Fast & Furious,http://www.imdb.com/title/tt1013752/,2009,6.6,46,PG-13,Action Thriller,107
Fast Five,http://www.imdb.com/title/tt1596343/,2011,7.3,66,PG-13,Action Adventure Crime,130
xXx,http://www.imdb.com/title/tt0295701/,2002,5.9,48,PG-13,Action Adventure Thriller,124
xXx: State of the Union,http://www.imdb.com/title/tt0329774/,2005,4.4,37,PG-13,Action Adventure Crime,101
Pitch Black,http://www.imdb.com/title/tt0134847/,2000,7.1,49,R,Action Horror Sci-Fi,109
The Chronicles of Riddick,http://www.imdb.com/title/tt0296572/,2004,6.7,38,R,Action Adventure Sci-Fi,119
The Chronicles of Riddick: Dark Fury,http://www.imdb.com/title/tt0407658/,2004 Video,6.6,None,Not Rated,Animation Short Action,35
Riddick,http://www.imdb.com/title/tt1411250/,2013,6.4,49,R,Action Adventure Sci-Fi,119
The Transporter,http://www.imdb.com/title/tt0293662/,2002,6.8,51,PG-13,Action Crime Thriller,92
Transporter 2,http://www.imdb.com/title/tt0388482/,2005,6.3,56,PG-13,Action Thriller,87
Transporter 3,http://www.imdb.com/title/tt1129442/,2008,6.1,51,PG-13,Action Thriller,104
Crank,http://www.imdb.com/title/tt0479884/,2006,6.9,57,R,Action Crime Thriller,88
Crank: High Voltage,http://www.imdb.com/title/tt1121931/,2009,6.2,41,R,Action Thriller,96
Alien,http://www.imdb.com/title/tt0078748/,1979,8.4,89,R,Horror Sci-Fi,117
Aliens,http://www.imdb.com/title/tt0090605/,1986,8.3,84,R,Action Adventure Sci-Fi,137
Alien 3,http://www.imdb.com/title/tt0103644/,1992,6.5,59,R,Action Horror Sci-Fi,114
Alien: Resurrection,http://www.imdb.com/title/tt0118583/,1997,6.2,63,R,Action Horror Sci-Fi,109
Alien vs. Predator,http://www.imdb.com/title/tt0370263/,2004,5.6,29,PG-13,Action Adventure Horror,101
Aliens vs. Predator: Requiem,http://www.imdb.com/title/tt0758730/,2007,4.7,29,R,Action Horror Sci-Fi,94
Predator,http://www.imdb.com/title/tt0093773/,1987,7.8,45,R,Action Adventure Sci-Fi,107
Predator 2,http://www.imdb.com/title/tt0100403/,1990,6.3,46,R,Action Horror Sci-Fi,108
Predators,http://www.imdb.com/title/tt1424381/,2010,6.4,51,R,Action Adventure Sci-Fi,107
The Evil Dead,http://www.imdb.com/title/tt0083907/,1981,7.5,71,NC-17,Horror,85
Evil Dead II,http://www.imdb.com/title/tt0092991/,1987,7.8,69,R,Comedy Horror,84
Army of Darkness,http://www.imdb.com/title/tt0106308/,1992,7.5,57,R,Comedy Horror,81
Saw,http://www.imdb.com/title/tt0387564/,2004,7.6,46,R,Horror Mystery,103
Saw II,http://www.imdb.com/title/tt0432348/,2005,6.6,40,R,Horror Mystery,93
Saw III,http://www.imdb.com/title/tt0489270/,2006,6.2,48,R,Horror Mystery Thriller,108
Saw IV,http://www.imdb.com/title/tt0890870/,2007,5.9,36,R,Horror Mystery Thriller,93
Saw V,http://www.imdb.com/title/tt1132626/,2008,5.8,20,R,Horror Mystery,92
Saw VI,http://www.imdb.com/title/tt1233227/,2009,6,30,R,Fantasy Horror Mystery,90
Saw: The Final Chapter,http://www.imdb.com/title/tt1477076/,2010,5.6,24,R,Fantasy Horror Mystery,90
Species,http://www.imdb.com/title/tt0114508/,1995,5.8,49,R,Action Horror Sci-Fi,108
Species II,http://www.imdb.com/title/tt0120841/,1998,4.4,19,R,Action Horror Sci-Fi,93
Species III,http://www.imdb.com/title/tt0410650/,2004 Video,4.2,None,R,Horror Sci-Fi,111
Species: The Awakening,http://www.imdb.com/title/tt0844894/,2007 Video,4.1,None,Not Rated,Horror Sci-Fi,103
Scream,http://www.imdb.com/title/tt0117571/,1996,7.2,65,R,Horror Mystery,111
Scream 2,http://www.imdb.com/title/tt0120082/,1997,6.2,63,R,Horror Mystery,120
Scream 3,http://www.imdb.com/title/tt0134084/,2000,5.6,56,R,Horror Mystery,116
