Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Spider-Man 2 (2004),http://www.imdb.com/title/tt0316654/,7.3,83.0,127,200000000.0,88156227.0,373585825.0,788976453.0,2004-06-30,PG-13,Action Adventure Sci-Fi,USA
The Matrix Reloaded (2003),http://www.imdb.com/title/tt0234215/,7.2,62.0,138,150000000.0,91774413.0,281576461.0,741846459.0,2003-05-15,R,Action Sci-Fi,USA
The Lord of the Rings: The Two Towers (2002),http://www.imdb.com/title/tt0167261/,8.7,87.0,179,94000000.0,62007528.0,342551365.0,951208089.0,2002-12-18,PG-13,Adventure Drama Fantasy,New Zealand
The Hobbit: An Unexpected Journey (2012),http://www.imdb.com/title/tt0903624/,7.8,58.0,169,180000000.0,84617303.0,303003568.0,1017003568.0,2012-12-14,PG-13,Adventure Family Fantasy,New Zealand
The Hobbit: The Battle of the Five Armies (2014),http://www.imdb.com/title/tt2310332/,7.4,59.0,144,250000000.0,54724334.0,255119788.0,956019788.0,2014-12-17,PG-13,Adventure Fantasy,New Zealand
Back to the Future Part II (1989),http://www.imdb.com/title/tt0096874/,7.8,57.0,108,40000000.0,27835125.0,119000002.0,338936043.0,1989-11-22,PG,Adventure Comedy Sci-Fi,USA
Lethal Weapon 2 (1989),http://www.imdb.com/title/tt0097733/,7.2,70.0,114,28000000.0,20388800.0,147253986.0,227853986.0,1989-07-07,R,Action Crime Thriller,USA
Lethal Weapon 4 (1998),http://www.imdb.com/title/tt0122151/,6.6,37.0,127,140000000.0,34048124.0,130444603.0,285444603.0,1998-07-10,R,Action Crime Thriller,USA
Die Hard 2 (1990),http://www.imdb.com/title/tt0099423/,7.2,67.0,124,70000000.0,21744661.0,117540947.0,240247433.0,1990-07-03,R,Action Thriller,USA
Live Free or Die Hard (2007),http://www.imdb.com/title/tt0337978/,7.1,69.0,128,110000000.0,33369559.0,134529403.0,388156011.0,2007-06-27,PG-13,Action Thriller,USA
Mad Max 2: The Road Warrior (1981),http://www.imdb.com/title/tt0082694/,7.6,77.0,96,3000000.0,2527864.0,23667907.0,23667907.0,1982-05-21,R,Action Adventure Sci-Fi,Australia
Mad Max: Fury Road (2015),https://www.imdb.com/title/tt1392190/,8.1,90.0,120,150000000.0,45428128.0,154058340.0,375209362.0,2015-05-15,R,Action Adventure Sci-Fi,Australia
Rocky II (1979),http://www.imdb.com/title/tt0079817/,7.3,61.0,119,7000000.0,6390537.0,85182160.0,85182160.0,1979-06-15,PG,Drama Sport,USA
Rocky IV (1985),http://www.imdb.com/title/tt0089927/,6.9,40.0,91,30000000.0,19991537.0,127873716.0,300473716.0,1985-11-27,PG,Drama Sport,USA
Rocky Balboa (2006),http://www.imdb.com/title/tt0479143/,7.1,63.0,102,24000000.0,12158168.0,70270943.0,155929020.0,2006-12-20,PG,Action Drama Sport,USA
Rambo: First Blood Part II (1985),http://www.imdb.com/title/tt0089880/,6.5,47.0,96,44000000.0,20176217.0,150415432.0,300400432.0,1985-05-22,R,Action Adventure Thriller,USA
Rambo (2008),http://www.imdb.com/title/tt0462499/,7.0,46.0,92,50000000.0,18203876.0,42754105.0,113244290.0,2008-01-25,R,Action Thriller War,Germany
Terminator 2: Judgment Day (1991),http://www.imdb.com/title/tt0103064/,8.5,75.0,137,102000000.0,31765506.0,205881154.0,520884847.0,1991-07-03,R,Action Sci-Fi,USA
Terminator Salvation (2009),https://www.imdb.com/title/tt1340138/,6.5,49.0,115,200000000.0,42558390.0,125322469.0,371353001.0,2009-05-21,PG-13,Action Adventure Sci-Fi,USA
Terminator: Dark Fate (2019),https://www.imdb.com/title/tt6450804/,6.3,54.0,128,185000000.0,29033832.0,62253077.0,261119292.0,2019-11-01,R,Action Adventure Sci-Fi,China
RoboCop 2 (1990),http://www.imdb.com/title/tt0100502/,5.8,42.0,117,25000000.0,14145411.0,45681173.0,45681173.0,1990-06-22,R,Action Crime Sci-Fi,USA
X2: X-Men United (2003),http://www.imdb.com/title/tt0290334/,7.4,68.0,134,110000000.0,85558731.0,214949694.0,407711549.0,2003-05-02,PG-13,Action Sci-Fi Thriller,Canada
X: First Class (2011),http://www.imdb.com/title/tt1270798/,7.7,65.0,131,160000000.0,55101604.0,146408305.0,352616690.0,2011-06-03,PG-13,Action Adventure Sci-Fi,USA
X-Men: Apocalypse (2016),https://www.imdb.com/title/tt3385516/,6.9,52.0,144,178000000.0,65769562.0,155442489.0,543934105.0,2016-05-27,PG-13,Action Adventure Sci-Fi,USA
The Wolverine (2013),http://www.imdb.com/title/tt1430132/,6.7,61.0,126,120000000.0,53113752.0,132556852.0,414828246.0,2013-07-26,PG-13,Action Adventure Sci-Fi,USA
2 Fast 2 Furious (2003),http://www.imdb.com/title/tt0322259/,5.9,38.0,107,76000000.0,50472480.0,127154901.0,236350661.0,2003-06-06,PG-13,Action Crime Thriller,USA
Fast & Furious (2009),http://www.imdb.com/title/tt1013752/,6.6,46.0,107,85000000.0,70950500.0,155064265.0,360364265.0,2009-04-03,PG-13,Action Thriller,USA
Furious 6 (2013),http://www.imdb.com/title/tt1905041/,7.1,61.0,130,160000000.0,97375245.0,238679850.0,788679850.0,2013-05-24,PG-13,Action Adventure Thriller,USA
The Fate of the Furious (2017),https://www.imdb.com/title/tt4630562/,6.7,56.0,136,250000000.0,98786705.0,226008385.0,1236005118.0,2017-04-14,PG-13,Action Adventure Crime,China
xXx: State of the Union (2005),http://www.imdb.com/title/tt0329774/,4.4,37.0,101,113000000.0,12712272.0,26873932.0,71022693.0,2005-04-29,PG-13,Action Adventure Crime,USA
The Chronicles of Riddick (2004),http://www.imdb.com/title/tt0296572/,6.7,38.0,119,105000000.0,24289165.0,57761012.0,115900534.0,2004-06-11,R,Action Adventure Sci-Fi,USA
Transporter 2 (2005),http://www.imdb.com/title/tt0388482/,6.3,56.0,87,32000000.0,16540720.0,43095856.0,89083229.0,2005-09-02,PG-13,Action Thriller,France
The Transporter Refueled (2015),https://www.imdb.com/title/tt2938956/,5.2,32.0,96,25000000.0,7355622.0,16029670.0,72629670.0,2015-09-04,PG-13,Action Adventure Thriller,France
Crank: High Voltage (2009),http://www.imdb.com/title/tt1121931/,6.2,41.0,96,20000000.0,6963565.0,13684249.0,34572541.0,2009-04-17,R,Action Thriller,USA
Aliens (1986),http://www.imdb.com/title/tt0090605/,8.3,84.0,137,18500000.0,10052042.0,85160248.0,131335326.0,1986-07-18,R,Action Adventure Sci-Fi,USA
Alien: Resurrection (1997),http://www.imdb.com/title/tt0118583/,6.2,63.0,109,75000000.0,16474092.0,47795658.0,161376069.0,1997-11-26,R,Action Horror Sci-Fi,USA
Aliens vs. Predator: Requiem (2007),http://www.imdb.com/title/tt0758730/,4.7,29.0,94,40000000.0,10059425.0,41797066.0,130290885.0,2007-12-25,R,Action Horror Sci-Fi,USA
Predator 2 (1990),http://www.imdb.com/title/tt0100403/,6.3,46.0,108,35000000.0,8784943.0,30669413.0,57120318.0,1990-11-21,R,Action Horror Sci-Fi,USA
The Predator (2018),https://www.imdb.com/title/tt3829266/,5.4,48.0,107,88000000.0,24632284.0,51024708.0,160542134.0,2018-09-14,R,Action Adventure Sci-Fi,USA
